PL_Code,Description,Mean_Monthly_Demand,Std_Deviation,CV,XYZ_Class
522004290115,MCPU(Part no. H001M209R1) for MSDAC G39 M/s G.G. Tronics make as per RDSO Spec RDSO/SPN/176/2013 ve....,0.5556,1.6667,3.0,Z
522004290127,MSC(Part no.H001M221RI) for MSDAC G39 M/s G.G. Tronics make as per RDSO Spec RDSO/SPN/176/2013 ver ....,1.1111,2.2608,2.0347,Z
522004290139,MDC(Part no.H001M225) for MSDAC G39 M/s G.G. Tronics make as per RDSO Spec RDSO/SPN/176/2013 ver 3 o....,0.7778,2.3333,3.0,Z
522005520025,Complete Communication Material including network switches among other items compatible with existin....,0.0,0.0,,N/A
525500230316,SOLAR PANEL 12V/50W,0.0,0.0,,N/A
528100010050,Condenser 1000 MFD 50V,36.5556,80.5588,2.2037,Z
528100010103,"MPP Film AC Capacitor of 48 Micro farad, 600VAC, 50Hz, +/- 5% Tolerance",3.6364,9.4231,2.5914,Z
528100030023,"MPP Film AC Capacitor of 36 Micro farad, 600VAC, 50Hz, +/- 5% Tolerance",3.4444,8.7495,2.5402,Z
539800218676,"Sealed maintenance free VRLA battery set of 60 cells, 2V/300 Ah capacity each  (Stackable) in combin....",0.6,0.9856,1.6427,Z
539800218688,"Sealed maintenance free VRLA battery set of 60 cells, 2V/200 Ah capacity each (Stackable) in combina....",1.2,2.0771,1.7309,Z
539800218690,"Sealed maintenance free VRLA battery set of 60 cells, 2V/120 Ah capacity each  (Stackable) in combin....",0.4,0.8281,2.0702,Z
539800456678,Back Plane Module for Siemens make MSDAC as per RDSO specn. no. RDSO/SPN/176/2013 VER.3 or latest,0.4,1.5492,3.873,Z
