PL_Code,Description,Business_Unit,Criticality,Criticality_Name,ABC_Class,Forecast_Method,Forecastability_Class,Forecast_2026_27,Current_Stock,Strategic_Stock,Operational_Stock,Lead_Time_Months,Pending_Supply,Unit_Cost,Inventory_Value,Supplier_Info,Procurement_History
560607110101,VDU 55 MONITOR WITH POWER CARD,MAS,,,,TSB,Very Low,0.9536,,,,,,,,Yes,Yes
560607460045,Transformer 110VAC/110VAC - 500VA capacity,MAS,,,,No Forecast,,,,,,,,,,Yes,Yes
560609080021,ELB LC Gate Meeting post,MAS,,,,SBA,Very Low,5.5108,,,,,,,,,
560609080033,ELB LC Gate Pedastal,MAS,,,,SBA,Very Low,8.9693,,,,,,,,,
560609140066,Stop Board of Aluminium Composite materials with Reflective Sticker,MAS,,,,SBA,Very Low,228.0,,,,,,,,Yes,Yes
560609580030,FRAME FOR RELAY ALU,MAS,,,,SBA,Low,2.85,,,,,,,,,
560609720149,"One embedded PC and one 55 inch 4K industrial grade VDU and other accessories like mouse, keyboard e....",MAS,,,,SBA,Very Low,7.125,,,,,,,,Yes,Yes
560609830113,LED TORCH FOR MAINTAINER,MAS,,,,No Forecast,,,,,,,,,,,
560610480321,"IF Card, FSI02-B for Kyosan make EI",MAS,,,,SBA,Very Low,7.4348,,,,,,,,Yes,Yes
560610480333,"I/O Card, FIO7-[P] for EI Kyosan",MAS,,,,SBA,Very Low,7.4348,,,,,,,,Yes,Yes
560610480345,"I/O Card, PIO3C(PIO2-LOG) for Kyosan make EI",MAS,,,,SBA,Very Low,15.613,,,,,,,,Yes,Yes
560610600065,Non Flammable Electronic Contact Cleaner,MAS,,,,TSB,Very Low,106.5815,,,,,,,,Yes,Yes
560610880130,Microlok - II EI SYNC Card,MAS,,,,SBA,Very Low,8.9571,,,,,,,,Yes,Yes
560611710036,LED 3mm with Assembly for Panel,MAS,,,,SBA,Very Low,2280.0,,,,,,,,Yes,Yes
560612520681,Key Lock Checking Relay (KLCR) with one number K-50 Neutral Relay to work on 24V DC non AC immunized....,MAS,,,,SBA,Low,41.632,,,,,,,,Yes,Yes
560613020047,"I/O Card, DID for Kyosan make EI",MAS,,,,SBA,Very Low,7.4348,,,,,,,,Yes,Yes
560613030028,"Power Card, IPU6C for Kyosan make EI",MAS,,,,SBA,Very Low,7.4348,,,,,,,,Yes,Yes
560613050027,"Optical Branch Card , SPHC-TT for Kyosan make EI",MAS,,,,SBA,Very Low,22.8,,,,,,,,Yes,Yes
560613610045,"IF Card, FSI02-B EX for Kyosan make EI",MAS,,,,SBA,Very Low,7.4348,,,,,,,,Yes,Yes
560613610057,"I/O Card, EXTFIO7-(P) for Kyosan make EI",MAS,,,,SBA,Very Low,7.4348,,,,,,,,Yes,Yes
560613610069,E-P5 Subrack with mother board for Kyosan make EI,MAS,,,,SBA,Very Low,2.9739,,,,,,,,Yes,Yes
560613610070,"Power Supply for SPHC-TT, SPHC-PW for Kyosan make EI",MAS,,,,SBA,Very Low,11.4,,,,,,,,Yes,Yes
560613610082,PCINIO-B Card for MTC Kyosan make EI,MAS,,,,SBA,Very Low,34.2,,,,,,,,Yes,Yes
560618310155,MLK II CPU EEPROM PCB,MAS,,,,No Forecast,,,,,,,,,,Yes,Yes
560623880422,Surge Protection systems for MSDAC Hut 1 in CTRE-MDVE Section as per RDSOTAN no. STSE/TAN/3006 ver.2....,MAS,,,,SBA,Very Low,11.4,,,,,,,,Yes,Yes
560623880434,Surge Protection systems for MSDAC Hut 2 in CTRE-MDVE Section as per RDSO TAN no. STS/ E/ TAN/ 3006 ....,MAS,,,,SBA,Very Low,11.4,,,,,,,,Yes,Yes
560629410026,B023 Rack Frame (Altpro make),MAS,,,,SBA,Very Low,319.2,,,,,,,,Yes,Yes
560800130618,"ACM (Axle Counter Module) 200, Make: Siemens",MAS,,,,TSB,Very Low,2.2602,,,,,,,,Yes,Yes
560800130709,High Availability Single Section DIgital Axle Counter System(HASSDAC) with dual track sensor as per ....,MAS,,,,TSB,Very Low,1.0126,,,,,,,,Yes,Yes
560800130801,UP GRADATION OF HASSDAC SYSTEM FROM VERSION S002 TO S003 OF GG TRONICS. This willinclude: 1. Replace....,MAS,,,,TSB,Very Low,2.7839,,,,,,,,Yes,Yes
560800131118,SF Chassis with Mother Board Assembly for SSDAC (G.G.Tronics Make),MAS,,,,SBA,Very Low,2.4429,,,,,,,,,
560800150253,Colour Light Signal Unit 4 ASPECT,MAS,,,,TSB,Very Low,21.2196,,,,,,,,Yes,Yes
560800150400,Modified colour light signal Four aspect unit (MS),MAS,,,,SBA,Very Low,10.545,,,,,,,,Yes,Yes
560800820064,SMPS based IPS system upto 6 lines in RE area with 300Ah VRLA battery bank to RDSO specification RDS....,MAS,,,,SBA,Very Low,61.5928,,,,,,,,Yes,Yes
56110029,CABLE PVC INSULATED ARMOURED UNSCREENED UNDERGROUND POWER CABLE 3C X 10 SQ.MM,MAS,,,,SBA,Very Low,4682.9896,,,,,,,,Yes,Yes
561183521801,PVC Cable of unsheathed insulated annealed tinned copper conductor single core multi strands 16/0.2 ....,MAS,,,,Croston,Medium,22001.9454,,,,,,,,Yes,Yes
56119033,CABLE PVC INSULATED ARMOURED UNSCREENED RAILWAY SIGNALLING CABLE OF SIZE 19C x 1.5sqmm (REV 4.0) IRS....,MAS,S1,Safety,C,TSB,Low,20017.6245,236.0,236.0,,,3.0,341197.0,,Yes,Yes
56119537,PVC INSULATED CABLE FOR RAILWAY SIGNALLING   HEAVY DUTY UNDER GROUND UNSCREENED ARMOUNED WITH GALVAN....,MAS,S1,Safety,B1,TSB,Low,20117.2039,43539.0,41744.0,,,14000.0,96.63,,Yes,Yes
561195810069,Wire Coil 1.5 Sqmm,MAS,,,,SBA,Very Low,2.28,,,,,,,,Yes,Yes
561196180021,"CABLE JELLY FILLED UNDERGROUND TELECOM 6 QUAD, 0.9MM DIA RAILWAY SIGNAL AND TELECOM COPPER CONDUCTOR....",MAS,,,,Croston,Medium,90614.1011,,,,,,,,Yes,Yes
561196730082,PFSK CARD FOR TPWS,MAS,,,,SBA,Very Low,45.6,,,,,,,,Yes,Yes
561196730094,PIND CARD FOR TPWS,MAS,,,,SBA,Very Low,43.32,,,,,,,,Yes,Yes
561196730150,Cable Gland for TPWS,MAS,,,,SBA,Very Low,45.6,,,,,,,,Yes,Yes
561300052071,Input Card Compatible with existing DELTRON make UFSBI System as per RDSO Specification No.IRS S 105....,MAS,,,,No Forecast,,,,,,,,,,Yes,Yes
561300651264,MSDAC RESET BOX,MAS,,,,SBA,Very Low,22.0138,,,,,,,,Yes,Yes
561300652270,FDC 110V(H001M124R1) for MSDAC G39 M/s G.G. Tronics make as per RDSO Spec RDSO/SPN/176/2013 ver 3 or....,MAS,,,,SBA,Very Low,23.75,,,,,,,,Yes,Yes
561300652281,FPD 21 KHZ (Part no. H001M101R1) for MSDAC G39 M/s G.G. Tronics make as per RDSO Spec RDSO/SPN/176/....,MAS,,,,SBA,Very Low,45.125,,,,,,,,Yes,Yes
561300652293,FCPU(H001M112R1) for MSDAC G39 M/s G.G. Tronics make as per RDSO Spec RDSO/SPN/176/2013 ver 3 or lat....,MAS,,,,SBA,Very Low,45.125,,,,,,,,Yes,Yes
