PL_Code,In_DMTR,In_Operational,In_Strategic,In_Criticality,Universe_Status
539808559547,0,1,0,0,Inventory_Only
539809127060,1,0,0,0,Demand_Only
539809531132,0,1,0,0,Inventory_Only
539809580039,0,1,0,0,Inventory_Only
539809943549,1,0,0,0,Demand_Only
539809943550,1,0,0,0,Demand_Only
539809946125,0,1,0,0,Inventory_Only
539809946174,0,1,0,0,Inventory_Only
539809946186,0,1,0,0,Inventory_Only
539810160026,1,0,0,0,Demand_Only
539810160051,1,0,0,0,Demand_Only
539810200024,1,0,0,0,Demand_Only
539810200036,1,0,0,0,Demand_Only
539810200048,1,0,0,0,Demand_Only
539810200050,1,0,0,0,Demand_Only
539810200190,1,0,0,0,Demand_Only
539810221015,1,0,0,0,Demand_Only
539810410420,0,1,0,0,Inventory_Only
539810410675,1,0,0,0,Demand_Only
539810611024,1,0,0,0,Demand_Only
539810830056,1,0,0,0,Demand_Only
539811049986,1,0,0,0,Demand_Only
539811050022,1,0,0,0,Demand_Only
539811050046,1,0,0,0,Demand_Only
539811130029,1,0,0,0,Demand_Only
539811150030,1,0,0,0,Demand_Only
539811180021,1,0,0,0,Demand_Only
539811180045,1,0,0,0,Demand_Only
539811180057,1,0,0,0,Demand_Only
539811180069,1,0,0,0,Demand_Only
539811180070,1,0,0,0,Demand_Only
539811180082,1,0,0,0,Demand_Only
539811180094,1,0,0,0,Demand_Only
539811180100,1,0,0,0,Demand_Only
539811190026,1,0,0,0,Demand_Only
539811200020,1,0,0,0,Demand_Only
539811210025,1,0,0,0,Demand_Only
539811230103,1,0,0,0,Demand_Only
539811230115,1,0,0,0,Demand_Only
539811281019,1,0,0,0,Demand_Only
539811550250,1,0,0,0,Demand_Only
539811569866,0,1,0,0,Inventory_Only
539811600022,1,0,0,0,Demand_Only
539811710022,1,0,0,0,Demand_Only
539811931397,0,1,0,0,Inventory_Only
539811950367,0,1,0,0,Inventory_Only
539811950379,0,1,0,0,Inventory_Only
539811950380,0,1,0,0,Inventory_Only
539811950410,0,1,0,0,Inventory_Only
539811950422,0,1,0,0,Inventory_Only
539811950460,0,1,0,0,Inventory_Only
539811951050,0,1,0,0,Inventory_Only
539811990195,0,1,0,0,Inventory_Only
539811990201,0,1,0,0,Inventory_Only
539812020037,0,1,0,0,Inventory_Only
539812072098,0,1,0,0,Inventory_Only
539812072116,0,1,0,0,Inventory_Only
539812072232,0,1,0,0,Inventory_Only
539812072244,0,1,0,0,Inventory_Only
539812072578,0,1,0,0,Inventory_Only
539812072608,0,1,0,0,Inventory_Only
539812073005,0,1,0,0,Inventory_Only
539812073467,1,0,0,0,Demand_Only
539812073637,0,1,0,0,Inventory_Only
539812211074,0,1,0,0,Inventory_Only
539812211293,0,1,0,0,Inventory_Only
539812211300,0,1,0,0,Inventory_Only
539812211311,0,1,0,0,Inventory_Only
539812211323,0,1,0,0,Inventory_Only
539812220087,0,1,0,0,Inventory_Only
539812250020,1,0,0,0,Demand_Only
539812290028,1,0,0,0,Demand_Only
539812480024,1,0,0,0,Demand_Only
539812480036,1,0,0,0,Demand_Only
539812480048,1,0,0,0,Demand_Only
539812601022,1,0,0,0,Demand_Only
539812630034,0,1,0,0,Inventory_Only
539812630046,0,1,0,0,Inventory_Only
539812630058,0,1,0,0,Inventory_Only
539812630060,0,1,0,0,Inventory_Only
539812630423,0,1,0,0,Inventory_Only
539812630447,0,1,0,0,Inventory_Only
539812630459,0,1,0,0,Inventory_Only
539812630460,0,1,0,0,Inventory_Only
539812630502,0,1,0,0,Inventory_Only
539812630514,0,1,0,0,Inventory_Only
539812630538,0,1,0,0,Inventory_Only
539812641044,1,0,0,0,Demand_Only
