PL_Code,Description,Months_Observed,Total_Issues,Average_Monthly_Demand,Std_Deviation,CV
539800456678,Back Plane Module for Siemens make MSDAC as per RDSO specn. no. RDSO/SPN/176/2013 VER.3 or latest,15,6.0,0.4,1.5492,3.873
539800456903,FRAUSCHER make MSDAC Back Plane BP EXB 101-2-16TE-GS01-19957,5,0.0,0.0,0.0,
539800639499,LED Torch Light (Flashing Unit),49,32.0,0.6531,2.5376,3.8858
539800699782,METAL 10MM CRIMPING TOOL,42,20.0,0.4762,1.6266,3.4158
539801491121,Long reach socket 13mm,42,25.0,0.5952,1.8618,3.1278
539801491133,Long reach socket 10mm,42,14.0,0.3333,1.391,4.1731
539801491145,Long reach socket 11mm,42,2.0,0.0476,0.3086,6.4807
539801491157,Long reach socket 12mm,42,2.0,0.0476,0.3086,6.4807
539801491169,Stanley 1/4 inch Drive Metric Socket Set (37- Pieces) Model-STMT82672-0-12,42,1.0,0.0238,0.1543,6.4807
539801568695,Power Supply Module for MSDAC Siemens make as per RDSO Spec No. RDSO/SPN/176/2013 Ver 3.0 or latest,39,7.0,0.1795,0.5559,3.0972
539801568713,SIRIUS Card for MSDAC Siemens make as per RDSO Spec No. RDSO/SPN/176/2013,38,12.0,0.3158,0.9893,3.1327
539801568725,BLEA Card for MSDAC Siemens make as per RDSO Spec No. RDSO/SPN/176/2013 Ver 3.0 or latest,38,9.0,0.2368,0.751,3.1709
539802239713,25 mm Conduit PVC Pipe as per RDSO /SPN/217/2018 ver - 2 -D1 With accessories,51,1559.0,30.5686,107.256,3.5087
539802616569,19 inch 12U Rack,16,2.0,0.125,0.5,4.0
539802616703,19 inch 24U Rack,13,1.0,0.0769,0.2774,3.6056
539802804118,HDPE PIPE 110MM DIA 5.5 MM THICK,53,15902.0,300.0377,622.7961,2.0757
539802804167,HDPE PIPE O.D 40MM I.D 33MM,54,39447.0,730.5,1502.9818,2.0575
539802831377,STEU Card for MSDAC Siemens make as per RDSO Spec No. RDSO/SPN/176/2013 Ver 3.0 or latest,39,14.0,0.359,1.1582,3.2264
539802851959,APPARUATUS CASE QUARTER SIZE,51,0.0,0.0,0.0,
539802852010,Apparatus Case Full GRS (Make 2MM stainless Steel),43,5.0,0.1163,0.5438,4.6764
539802862386,HYLUM SHEET 6MM THICKNESS (8ft X 4ft),54,26.0,0.4815,1.1284,2.3436
539802900879,Fuse Auto changeover system (FACS Main System) as per RDSO/SPN/209/2012 Ver 1.0 or latest type capab....,17,2.0,0.1176,0.4851,4.1231
539804082797,COVER MS FOR C.T.BOX,40,0.0,0.0,0.0,
539804752183,OFC cable 24 fibre armoured as per RDSO specification no. IRS:TC:55/2006 Rev 1 with amendment no.3 ....,25,30914.0,1236.56,3136.8921,2.5368
539805021573,"24 port Giga Bit layer 2switch, 24 x 10/100/1000 BASE-T PoE ports ? 4 x 1G (minimum) SFP+ ports with....",33,2.0,0.0606,0.3482,5.7446
539805046442,CRANK HANDLE GKP MAKE,54,9.0,0.1667,1.0946,6.5675
539805046570,CRANK HANDLE FOR IRS POINT MACHINE,47,1460.0,31.0638,149.9258,4.8264
539805350052,ELECTRONIC TIMER RELAY 30 SECONDS,52,107.0,2.0577,8.2138,3.9918
539805423687,DATA CABLE FOR TPWS,54,12292.0,227.6296,684.7007,3.008
539805423699,DATA TAIL CABLE FOR TPWS,54,190.0,3.5185,11.6809,3.3198
539805423857,ACCESSORIES FOR LEU MODULE (PFSK & PIND CABLE) FOR TPWS,40,4.0,0.1,0.6325,6.3246
539805423912,I/O Cables for TPWS,32,2.0,0.0625,0.3536,5.6569
539805423924,EMI Filters for TPWS,32,3.0,0.0938,0.5303,5.6569
539805714955,LED based stencil type route indicator (2Way) white LED (With Housing) as per the following specific....,24,14.0,0.5833,2.8577,4.899
539805721194,Junction Type Route Indicator Unit 2 Way (FRP),4,5.0,1.25,2.5,2.0
539805734220,Junction Type Route Indicator - 1 way,38,36.0,0.9474,1.3744,1.4508
539805736252,Junction Type Route Indicator Unit 3 Way (FRP),4,5.0,1.25,2.5,2.0
539805736331,Junction Type Route Indicator Unit 1 Way (FRP),3,0.0,0.0,0.0,
539805771483,FRP Shunt Signal unit,3,3.0,1.0,1.0,1.0
539805825807,KRONE TOOL,49,1.0,0.0204,0.1429,7.0
539805880508,(1) 3 POINT SAFETY NUT-22 Nos (2) SOCKET FOR 3 POINT SAFETY NUT-1 No (3) M20 X 100MM Sq.Hd BOLT-4 No....,16,10.0,0.625,2.5,4.0
539805880545,Fastener Cover for Switch Extension Bracket LH & RH with M20 X 100 Blot with Castle Nut,14,250.0,17.8571,46.205,2.5875
539806099363,Non-Metallic (FRP) Colour light signal housings for Railway signalling suitable for Two Aspect Compl....,51,39.0,0.7647,1.9858,2.5969
539806099570,LED SIGNAL CURRENT REGULATOR,48,10.0,0.2083,1.4434,6.9282
539809127060,CONTACT ASSEMBLY,31,70.0,2.2581,12.5724,5.5678
539809943549,Battery cable 16 Sq.mm Red Cable: 10Mtrs Length Cable with Lugs on both sides and 16 Sq.mm Black Cab....,11,15.0,1.3636,2.8381,2.0812
539809943550,Battery cable 25 Sq.mm Red Cable: 10Mtrs Length Cable with Lugs on both sides and 25 Sq.mm Black Cab....,11,15.0,1.3636,4.5227,3.3166
539810160026,Fit & Forget Lead wire 5 Mtrs 4 mm dia,52,2750.0,52.8846,169.2265,3.1999
539810160051,Fit & Forget Lead wire 6 Mtrs 4 mm dia,41,2665.0,65.0,306.9243,4.7219
539810200024,FIT & FORGET LEAD WIRE 4 MTRS 4 MM DIA,54,4260.0,78.8889,200.1525,2.5371
539810200036,FIT & FORGET LEAD WIRE 3 MTR 4 MM DIA,54,5185.0,96.0185,156.1276,1.626
539810200048,FIT & FORGET LEAD WIRE 1.5 MTR 4 MM DIA,54,6609.0,122.3889,339.4344,2.7734
539810200050,FIT & FORGET BOND WIRE 2 MTRS 4MM DIA,54,3370.0,62.4074,102.3355,1.6398
539810200190,FIT & FORGET BOND WIRE 3 MTRS 4MM DIA,16,600.0,37.5,78.6503,2.0973
