PL_Code,Description,Movement_Status,Inventory_Aging_Class,Inventory_Value,Operational_ABC,Source_Universe
77033000,"PAINT ENAMEL, SYNTHETIC, EXTERIOR, FINISHING 'SIGNAL RED' TO ISC-537 OF IS.5\2007'.  SPECI....",Dead Stock,Dead Stock,0.0,C,Operational
77093306,PAINT ALUMINIUM FOR GENERAL PURPOSE IN DUAL CONTAINER TO IS:2339/1963 (reaffirmed 2009) Am....,Dead Stock,Dead Stock,0.0,C,Operational
77091310,"PAINT READY MIXED RED OXIDE (ISC 446) BRUSHING, FINISHING, GLOSSY FOR GENERAL PURPOSES TO ....",Dead Stock,Dead Stock,0.0,C,Operational
77091607,PAINT READY MIXED BRUSHING FINISHING EXTERIOR SEMI GLOSS FOR GENERAL PURPOSE BLACK TO IS. ....,Slow Moving,Very Slow Moving,0.0,C,Operational
77033255,"ENAMEL, SYNTHETIC,  EXTERIOR, FINISHING 'WHITE' .  SPECIFICATION: - IS.8662/04 & ICF/MD/SP....",Dead Stock,Dead Stock,0.0,C,Operational
569005440010,Aluminium boom 9.76 Mtr for Electric lifting barrier,Slow Moving,Very Slow Moving,0.0,C,Operational
759099220013,Acetal Bushes for D BRACKET & CRANKS,Dead Stock,Dead Stock,1900.0,C,Operational
567910680010,ANNOUNCIATOR   - 6 way,Active,Active,0.0,C,Operational
549008190016,AEROW PLATE FOR SIGNAL MISCELLANEOUS.,Dead Stock,Dead Stock,0.0,C,Operational
539812641007,ANNOUNCIATOR 4 WAY,Dead Stock,Dead Stock,0.0,C,Operational
539812641070,ANNOUNCIATOR 8 WAY,Active,Monitor,18700.0,C,Operational
602699740014,BATTERY CHARGER 110v/12v/10amps,Dead Stock,Dead Stock,0.0,C,Operational
901100480016,BOARD C MARKER,Dead Stock,Dead Stock,5250.0,C,Operational
901301030014,(Board G marker),Slow Moving,Very Slow Moving,1500.0,C,Operational
901301040019,Board P Marker,Dead Stock,Dead Stock,500.0,C,Operational
565000095620,B Type Choke,Active,Active,129303.77,C,Operational
56500350,BATTERY CHARGER 110V AC 24V DC 30 AMPS TO SPECN.IRS-S-86/2000.WITH AMENDMENT-4 or latest.,Active,Monitor,221570.62,B,Operational
56500361,Battery Charger 230V/24V 50 amps. As per RDSO Specn. No. IRS.S.86/2000 (Amndt.-4) or lates....,Slow Moving,Slow Moving,0.0,C,Operational
56500452,BATTERY CHARGER 230V AC 110V DC 30 AMPS SPECN.No.IRS-S-86/2000 WITH AMENDMENT - 4. OR LATE....,Slow Moving,Very Slow Moving,122906.7,C,Operational
565010000010,Bracket for A marker,Slow Moving,Slow Moving,700.0,C,Operational
565010000010,Bracket for A marker,Slow Moving,Slow Moving,700.0,C,Operational
565010000010,Bracket for A marker,Slow Moving,Slow Moving,700.0,C,Operational
565010000010,Bracket for A marker,Slow Moving,Slow Moving,700.0,C,Operational
565010000010,Bracket for A marker,Slow Moving,Slow Moving,700.0,C,Operational
