PL_Code,Description,Current_Stock,Unit,Unit_Cost,Inventory_Value,Last_Receipt_Date,Last_Issue_Date,Days_Since_Movement,Inventory_Aging_Class,Movement_Status,Inventory_Value_Band,Depot,Operational_ABC
74495914,LOCK PAD GALUANISED WITH NON-INTER CHANGEABLE DUPLICATE KEYS 4 LEVER STAMPED WITH RLYS INI....,27.0,Nos.,106.95,2887.65,31-12-2022,06-03-2026,93,Monitor,Active,"< Rs 10,000",SSE/S/SRM/TPJ077355-S AND T-SR,C
539833391030,Handheld digital multimeter,0.0,Nos.,22266.97,0.0,24-10-2024,24-02-2025,468,Very Slow Moving,Slow Moving,"< Rs 10,000",SSE/S/SRM/TPJ077355-S AND T-SR,C
722400660010,DRILLING MECHINE 13 TO 23 MM,21.0,Nos.,6539.24,137324.0,02-03-2024,25-07-2025,317,Slow Moving,Slow Moving,Rs 1 Lakh - 10 Lakh,SSE/S/SRM/TPJ077355-S AND T-SR,C
522001790046,DISTANCE MEASURING WHEEL (RODO METER),1.0,Nos.,2740.17,2740.17,27-07-2023,15-08-2023,1027,Dead Stock,Dead Stock,"< Rs 10,000",SSE/S/SRM/TPJ077355-S AND T-SR,C
729023840016,"Tools Bag Nylon with pocket & sling, waterproof of size 340X240X150 mm.",2.0,Nos.,444.0,888.0,17-06-2024,20-03-2026,79,Active,Active,"< Rs 10,000",SSE/S/SRM/TPJ077355-S AND T-SR,C
727924850012,Spring adjusting Tool for DLB and FM Diado Block Instrument to Drg.No. CWM SK/01123.,4.0,Nos.,200.0,800.0,05-12-2023,21-02-2024,837,Dead Stock,Dead Stock,"< Rs 10,000",SSE/S/SRM/TPJ077355-S AND T-SR,C
430800091284,KUSAM MECO INFRARED THERMO METER MODEL KM IRL 1100,4.0,Nos.,4513.0,18052.0,29-11-2023,22-01-2025,501,Very Slow Moving,Slow Moving,"Rs 10,000 - 1 Lakh",SSE/S/SRM/TPJ077355-S AND T-SR,C
589800030020,SPECIAL SPANNER FOR MAINTANENCE OF ELECTRICAL POINT MACHINE GROUND CONNECTION,19.0,Nos.,258.0,4902.0,03-03-2025,06-05-2024,461,Very Slow Moving,Slow Moving,"< Rs 10,000",SSE/S/SRM/TPJ077355-S AND T-SR,C
539805929960,Brush cutter Machine with petrol engine,0.0,Nos.,10450.0,0.0,20-08-2024,01-11-2024,583,Very Slow Moving,Slow Moving,"< Rs 10,000",SSE/S/SRM/TPJ077355-S AND T-SR,C
721617410015,Dial Tension Gauge 50-500grams for DLB Instrument (WO No.13075025),2.0,Nos.,5872.61,11745.22,16-07-2024,01-11-2024,583,Very Slow Moving,Slow Moving,"Rs 10,000 - 1 Lakh",SSE/S/SRM/TPJ077355-S AND T-SR,C
570110460035,BROTHER ELECTRONIC LABEL PRINTER,1.0,Nos.,5378.46,5378.46,01-10-2024,23-01-2026,135,Monitor,Active,"< Rs 10,000",SSE/S/SRM/TPJ077355-S AND T-SR,C
430201610016,Hand Held 600 V Insulation Tester. Make :- YOKINS (YOK-IT-HDG-MB-500V-500MOHMS) or Similar....,1.0,Nos.,2596.0,2596.0,30-10-2024,14-08-2025,297,Slow Moving,Slow Moving,"< Rs 10,000",SSE/S/SRM/TPJ077355-S AND T-SR,C
783100174259,STEEL STORAGE RACK,17.0,Nos.,10000.0,170000.0,10-12-2024,,544,Very Slow Moving,Slow Moving,Rs 1 Lakh - 10 Lakh,SSE/S/SRM/TPJ077355-S AND T-SR,C
90230334,"INDIAN STANDARD EQUAL ANGLE ISA 50 X 50 X 6MM, IN THE LENGTH OF 5.5 TO 13.5 MTRS. CONFORMI....",0.0,Kgs.,67.65,0.0,20-11-2024,20-11-2024,564,Very Slow Moving,Slow Moving,"< Rs 10,000",SSE/S/SRM/TPJ077355-S AND T-SR,C
831100740244,"ALL IN ONE PRINTER (MULTIFUNCTION MACHINE MFM PRINT SCAN,COPY AND AUTOMATIC SIDE PRINT MAK....",1.0,Nos.,9246.87,9246.87,19-11-2024,13-08-2025,298,Slow Moving,Slow Moving,"< Rs 10,000",SSE/S/SRM/TPJ077355-S AND T-SR,C
565001310033,"Supply of surge protective device (SPD) life tester, designed for onsite testing of surge ....",0.0,Nos.,90506.0,0.0,19-11-2024,06-02-2025,486,Very Slow Moving,Slow Moving,"< Rs 10,000",SSE/S/SRM/TPJ077355-S AND T-SR,C
40402411064,DISTANCE MEASURING WHEEL,0.0,Nos.,110613.2,0.0,22-11-2024,19-12-2024,535,Very Slow Moving,Slow Moving,"< Rs 10,000",SSE/S/SRM/TPJ077355-S AND T-SR,C
